vw_bits	vw_init_wt	features	training_labels	labels_queried	Aloha_pred_sec	Aloha_error	VW_pred_sec	VW_error
20	1E-05	10	200	2	71243.595	6905.932	112962.25	7788.392
20	1E-06	10	200	2	68793.206	6894.354	115366.95	13020.369
22	1E-05	10	200	2	64798.863	6896.183	115232.74	12717.668
22	1E-06	10	200	2	63907.679	9461.892	125895.115	1267.732
20	1E-05	10	500	5	49996.767	6308.9	78902.103	1011.649
20	1E-06	10	500	5	44451.747	6142.841	90776.317	1585.516
22	1E-05	10	500	5	45915.719	6695.094	90620.68	6620.202
22	1E-06	10	500	5	50211.07	1842.904	89087.719	7467.707
20	1E-05	10	1000	10	38078.63	107.389	58777.121	6861.469
20	1E-06	10	1000	10	34944.696	4706.285	61991.846	4198.286
22	1E-05	10	1000	10	32221.057	4608.939	53146.322	139.418
22	1E-06	10	1000	10	34502.323	4928.653	56688.193	5801.588
20	1E-05	10	200	20	21983.499	2968.119	35737.748	3605.12
20	1E-06	10	200	20	22894.88	2615.468	38037.49	259.248
22	1E-05	10	200	20	22125.263	3151.564	32323.173	2302.698
22	1E-06	10	200	20	24354.462	112.321	32238.368	1058.703
20	1E-05	10	500	50	11770.554	62.166	15063.885	1011.434
20	1E-06	10	500	50	10254.965	1257.876	16054.739	1850.269
22	1E-05	10	500	50	10697.363	1469.243	17017.263	1583.101
22	1E-06	10	500	50	10942.069	1479.546	15837.761	1776.099
20	1E-05	10	200	100	6349.532	528.714	8632.638	1146.084
20	1E-05	10	1000	100	5883.209	706.375	8471.781	1045.478
20	1E-06	10	200	100	5814.697	932.936	8222.816	980.026
20	1E-06	10	1000	100	6360.964	392.318	9113.613	37.38
22	1E-05	10	200	100	5458.817	648.963	7954.732	449.628
22	1E-05	10	1000	100	6572.645	56.658	7729.278	24.321
22	1E-06	10	200	100	5615.723	30.956	7977.743	651.241
22	1E-06	10	1000	100	5570.042	732.793	8347.486	1086.629
20	1E-05	10	200	200	3339.777	283.687	3932.006	15.866
20	1E-06	10	200	200	2901.4	9.671	4643.042	21.886
22	1E-05	10	200	200	2962.042	342.162	4162.731	472.972
22	1E-06	10	200	200	3268.726	454.668	4120.557	376.669
20	1E-05	10	500	250	2703.436	9.409	3337.544	400.327
20	1E-06	10	500	250	2545.961	329.354	3349.025	426.3
22	1E-05	10	500	250	2628.898	290.016	3201.346	282.257
22	1E-06	10	500	250	2489.697	325.424	3144.723	14.092
20	1E-05	10	500	500	1269.331	180.204	1780.193	61.347
20	1E-05	10	1000	500	1194.913	148.693	1554.52	131.266
20	1E-06	10	500	500	1324.218	93.314	1786.373	9.94
